ratio_percent;simu;scenario;variable
-4.27514768956867;simu2;scebaseline;feffort
-4.83974550813446;simu4;scebaseline;feffort
-4.5663130486343;simu5;scebaseline;feffort
-5.49416337416993;simu7;scebaseline;feffort
-4.58570844457272;simu9;scebaseline;feffort
0.428421137816628;simu2;sceavchokpszpectra;feffort
0.478021524718812;simu4;sceavchokpszpectra;feffort
0.445191353330145;simu5;sceavchokpszpectra;feffort
-0.797902216858645;simu7;sceavchokpszpectra;feffort
0.0976501431079697;simu9;sceavchokpszpectra;feffort
-96.3865015780529;simu2;scesizespectrastopifchok;feffort
-96.2960206932364;simu4;scesizespectrastopifchok;feffort
-96.8264607690225;simu5;scesizespectrastopifchok;feffort
-96.2608363530156;simu7;scesizespectrastopifchok;feffort
-96.4438672022192;simu9;scesizespectrastopifchok;feffort
-96.2961883952416;simu2;sceavchokpszpctrastopifchok;feffort
-97.254652014889;simu4;sceavchokpszpctrastopifchok;feffort
-96.9943541422292;simu5;sceavchokpszpctrastopifchok;feffort
-95.5865030635465;simu7;sceavchokpszpctrastopifchok;feffort
-96.0463717920966;simu9;sceavchokpszpctrastopifchok;feffort
7.04734158776401;simu2;sceavhtariffspszpctratariffs;feffort
5.92212859506967;simu4;sceavhtariffspszpctratariffs;feffort
5.36211474754766;simu5;sceavhtariffspszpctratariffs;feffort
3.86979365593918;simu7;sceavhtariffspszpctratariffs;feffort
4.38784263735559;simu9;sceavhtariffspszpctratariffs;feffort
1.46572792749049;simu2;scetrgthtariffspszpctratariffs;feffort
1.02398519508293;simu4;scetrgthtariffspszpctratariffs;feffort
-0.855901725982548;simu5;scetrgthtariffspszpctratariffs;feffort
-0.930137017078195;simu7;scetrgthtariffspszpctratariffs;feffort
-0.191772694839301;simu9;scetrgthtariffspszpctratariffs;feffort
-0.667961479323466;simu2;sceannualcodclosure;feffort
-0.304930820336708;simu4;sceannualcodclosure;feffort
0.0104731950656856;simu5;sceannualcodclosure;feffort
-0.651063816129437;simu7;sceannualcodclosure;feffort
-1.89864588594656;simu9;sceannualcodclosure;feffort
9.28591081977825;simu2;scequartercodclosure;feffort
8.69384460337155;simu4;scequartercodclosure;feffort
7.727123319455;simu5;scequartercodclosure;feffort
7.83025801833956;simu7;scequartercodclosure;feffort
8.05942388019017;simu9;scequartercodclosure;feffort
0.318232812091154;simu2;scebaseline;seffort
0.393810254290415;simu4;scebaseline;seffort
0.990484474948801;simu5;scebaseline;seffort
0.659664288400521;simu7;scebaseline;seffort
0.472401314951213;simu9;scebaseline;seffort
-0.483387590403439;simu2;sceavchokpszpectra;seffort
-0.431975489672652;simu4;sceavchokpszpectra;seffort
0.336809275780496;simu5;sceavchokpszpectra;seffort
0.160811047019749;simu7;sceavchokpszpectra;seffort
0.0295184458431947;simu9;sceavchokpszpectra;seffort
-96.7915055992661;simu2;scesizespectrastopifchok;seffort
-96.3605589251147;simu4;scesizespectrastopifchok;seffort
-96.83569011425;simu5;scesizespectrastopifchok;seffort
-96.2557933821699;simu7;scesizespectrastopifchok;seffort
-96.4712715442182;simu9;scesizespectrastopifchok;seffort
-96.0700790179276;simu2;sceavchokpszpctrastopifchok;seffort
-97.4511754575335;simu4;sceavchokpszpctrastopifchok;seffort
-96.9645793331707;simu5;sceavchokpszpctrastopifchok;seffort
-95.3180467496147;simu7;sceavchokpszpctrastopifchok;seffort
-96.1869175946926;simu9;sceavchokpszpctrastopifchok;seffort
-0.87227995165064;simu2;sceavhtariffspszpctratariffs;seffort
-0.946624702527885;simu4;sceavhtariffspszpctratariffs;seffort
