ratio_percent;simu;scenario;variable
-0.220815848568449;simu3;scetrgthtariffspszpctratariffs;feffort
1.10468502954149;simu4;scetrgthtariffspszpctratariffs;feffort
0.0244448009966618;simu5;scetrgthtariffspszpctratariffs;feffort
0.332766994617756;simu6;scetrgthtariffspszpctratariffs;feffort
-0.940156420554104;simu7;scetrgthtariffspszpctratariffs;feffort
0.556626862052752;simu8;scetrgthtariffspszpctratariffs;feffort
-0.0202008813221681;simu9;scetrgthtariffspszpctratariffs;feffort
0.631647115909288;simu10;scetrgthtariffspszpctratariffs;feffort
0.283664859146853;simu1;sceannualcodclosure;feffort
-0.148768428180688;simu2;sceannualcodclosure;feffort
-0.569871507454295;simu3;sceannualcodclosure;feffort
0.146667221436303;simu4;sceannualcodclosure;feffort
0.231895274319754;simu5;sceannualcodclosure;feffort
-0.48906522214331;simu6;sceannualcodclosure;feffort
-0.421226117145537;simu7;sceannualcodclosure;feffort
0.464566064040966;simu8;sceannualcodclosure;feffort
-0.994165233813462;simu9;sceannualcodclosure;feffort
-0.0674977862614128;simu10;sceannualcodclosure;feffort
5.22868705180622;simu1;scequartercodclosure;feffort
5.22023023640277;simu2;scequartercodclosure;feffort
3.61860918777397;simu3;scequartercodclosure;feffort
5.06347068925083;simu4;scequartercodclosure;feffort
4.16826328655158;simu5;scequartercodclosure;feffort
2.73934690607378;simu6;scequartercodclosure;feffort
4.03290218975636;simu7;scequartercodclosure;feffort
4.7866879328373;simu8;scequartercodclosure;feffort
4.24359444146911;simu9;scequartercodclosure;feffort
5.32382888980774;simu10;scequartercodclosure;feffort
-0.0428958161065083;simu1;scebaseline;seffort
-0.0639670136080639;simu2;scebaseline;seffort
0.0877069967615967;simu3;scebaseline;seffort
-0.0966207136769981;simu4;scebaseline;seffort
0.269506823733565;simu5;scebaseline;seffort
0.278986956763646;simu6;scebaseline;seffort
0.134953481676177;simu7;scebaseline;seffort
-0.099340333719411;simu8;scebaseline;seffort
0.155977782691167;simu9;scebaseline;seffort
-0.0855935258886262;simu10;scebaseline;seffort
0.0056910115986426;simu1;sceavchokpszpectra;seffort
-0.190548175249035;simu2;sceavchokpszpectra;seffort
0.0110186149777576;simu3;sceavchokpszpectra;seffort
-0.252268647599422;simu4;sceavchokpszpectra;seffort
0.193789082026271;simu5;sceavchokpszpectra;seffort
-0.0139096061064521;simu6;sceavchokpszpectra;seffort
0.00940611636028166;simu7;sceavchokpszpectra;seffort
-0.183623754808764;simu8;sceavchokpszpectra;seffort
-0.12977798725845;simu9;sceavchokpszpectra;seffort
-0.0449803462795586;simu10;sceavchokpszpectra;seffort
-97.5257922674887;simu1;scesizespectrastopifchok;seffort
-97.081060176049;simu2;scesizespectrastopifchok;seffort
-97.381929942821;simu3;scesizespectrastopifchok;seffort
-96.786410047614;simu4;scesizespectrastopifchok;seffort
-97.2611044828204;simu5;scesizespectrastopifchok;seffort
-97.8553889641038;simu6;scesizespectrastopifchok;seffort
-96.581104863919;simu7;scesizespectrastopifchok;seffort
-97.2317042704727;simu8;scesizespectrastopifchok;seffort
-96.8963466363861;simu9;scesizespectrastopifchok;seffort
-96.8376272727647;simu10;scesizespectrastopifchok;seffort
-96.4831018866071;simu1;sceavchokpszpctrastopifchok;seffort
-96.5541925598275;simu2;sceavchokpszpctrastopifchok;seffort
-97.5984133194432;simu3;sceavchokpszpctrastopifchok;seffort
-97.8311830315399;simu4;sceavchokpszpctrastopifchok;seffort
-97.3358495949145;simu5;sceavchokpszpctrastopifchok;seffort
-96.6596044137462;simu6;sceavchokpszpctrastopifchok;seffort
-95.7740483041611;simu7;sceavchokpszpctrastopifchok;seffort
-97.7518588449731;simu8;sceavchokpszpctrastopifchok;seffort
-96.6182992846323;simu9;sceavchokpszpctrastopifchok;seffort
-97.799095040722;simu10;sceavchokpszpctrastopifchok;seffort
-0.0511896934750666;simu1;sceavhtariffspszpctratariffs;seffort
-0.174328493407714;simu2;sceavhtariffspszpctratariffs;seffort
0.238358568122152;simu3;sceavhtariffspszpctratariffs;seffort
0.0640073665030769;simu4;sceavhtariffspszpctratariffs;seffort
0.138172352325356;simu5;sceavhtariffspszpctratariffs;seffort
-0.172950128836803;simu6;sceavhtariffspszpctratariffs;seffort
0.0240672930345198;simu7;sceavhtariffspszpctratariffs;seffort
-0.229514989494717;simu8;sceavhtariffspszpctratariffs;seffort
-0.0801293013598752;simu9;sceavhtariffspszpctratariffs;seffort
-0.164790696552785;simu10;sceavhtariffspszpctratariffs;seffort
-2.5777194395986;simu1;scetrgthtariffspszpctratariffs;seffort
-2.49938973998512;simu2;scetrgthtariffspszpctratariffs;seffort
-2.34393045191641;simu3;scetrgthtariffspszpctratariffs;seffort
-2.68331455617421;simu4;scetrgthtariffspszpctratariffs;seffort
-2.56874428211682;simu5;scetrgthtariffspszpctratariffs;seffort
-2.59010112946002;simu6;scetrgthtariffspszpctratariffs;seffort
-2.23348895377489;simu7;scetrgthtariffspszpctratariffs;seffort
-2.55945458686641;simu8;scetrgthtariffspszpctratariffs;seffort
-2.43034362922037;simu9;scetrgthtariffspszpctratariffs;seffort
-2.75643208658812;simu10;scetrgthtariffspszpctratariffs;seffort
0.419576079928262;simu1;sceannualcodclosure;seffort
0.412197553666132;simu2;sceannualcodclosure;seffort
0.611105938974561;simu3;sceannualcodclosure;seffort
0.334918508500564;simu4;sceannualcodclosure;seffort
0.594070378299861;simu5;sceannualcodclosure;seffort
0.329002662107271;simu6;sceannualcodclosure;seffort
0.435890324977635;simu7;sceannualcodclosure;seffort
0.376202255507877;simu8;sceannualcodclosure;seffort
0.384302894937647;simu9;sceannualcodclosure;seffort
0.450994508251142;simu10;sceannualcodclosure;seffort
0.207685159709342;simu1;scequartercodclosure;seffort
0.353818463085886;simu2;scequartercodclosure;seffort
0.468350059630154;simu3;scequartercodclosure;seffort
0.136505955828909;simu4;scequartercodclosure;seffort
0.30978253180794;simu5;scequartercodclosure;seffort
0.387187501195925;simu6;scequartercodclosure;seffort
0.318880592664826;simu7;scequartercodclosure;seffort
0.233411553798391;simu8;scequartercodclosure;seffort
0.526231938359729;simu9;scequartercodclosure;seffort
0.325346564819043;simu10;scequartercodclosure;seffort
-2.468819809884;simu1;scebaseline;propfeffort
-2.3636447323278;simu2;scebaseline;propfeffort
-3.86591209614664;simu3;scebaseline;propfeffort
-2.60126181873065;simu4;scebaseline;propfeffort
-2.67795672925982;simu5;scebaseline;propfeffort
-3.70328552336278;simu6;scebaseline;propfeffort
-3.25048337202627;simu7;scebaseline;propfeffort
-1.72670653441227;simu8;scebaseline;propfeffort
-2.58663145817624;simu9;scebaseline;propfeffort
-2.91763511472053;simu10;scebaseline;propfeffort
-0.00533468910791157;simu1;sceavchokpszpectra;propfeffort
0.389273690945856;simu2;sceavchokpszpectra;propfeffort
-1.08303808885285;simu3;sceavchokpszpectra;propfeffort
0.482917395703495;simu4;sceavchokpszpectra;propfeffort
0.118180698947825;simu5;sceavchokpszpectra;propfeffort
-0.526458395600528;simu6;sceavchokpszpectra;propfeffort
-0.715360054052823;simu7;sceavchokpszpectra;propfeffort
0.366587625102824;simu8;sceavchokpszpectra;propfeffort
0.231602836877371;simu9;sceavchokpszpectra;propfeffort
-0.369778644333024;simu10;sceavchokpszpectra;propfeffort
5.75202796759926;simu1;scesizespectrastopifchok;propfeffort
8.49664554890612;simu2;scesizespectrastopifchok;propfeffort
6.84793470400329;simu3;scesizespectrastopifchok;propfeffort
4.42248401233023;simu4;scesizespectrastopifchok;propfeffort
