ratio_percent;simu;scenario;variable
-0.398160162547853;simu1;scebaseline;feffort
-0.686237480034038;simu2;scebaseline;feffort
-0.653145723613108;simu3;scebaseline;feffort
-0.620727801640257;simu4;scebaseline;feffort
-0.355435659310359;simu5;scebaseline;feffort
-0.875030390889322;simu6;scebaseline;feffort
-0.958792929213004;simu7;scebaseline;feffort
-0.759407535101047;simu8;scebaseline;feffort
-0.340856225391747;simu9;scebaseline;feffort
-0.636381035708425;simu10;scebaseline;feffort
-0.181520898847708;simu1;sceavchokpszpectra;feffort
0.0200228442450339;simu2;sceavchokpszpectra;feffort
-0.237507535859322;simu3;sceavchokpszpectra;feffort
0.0607753293135289;simu4;sceavchokpszpectra;feffort
0.168831938172431;simu5;sceavchokpszpectra;feffort
-0.381050627245244;simu6;sceavchokpszpectra;feffort
-0.844623999891482;simu7;sceavchokpszpectra;feffort
-0.30553224306486;simu8;sceavchokpszpectra;feffort
0.194710147394233;simu9;sceavchokpszpectra;feffort
-0.192076338382449;simu10;sceavchokpszpectra;feffort
-97.7998572461273;simu1;scesizespectrastopifchok;feffort
-97.3588048182244;simu2;scesizespectrastopifchok;feffort
-97.6827090418937;simu3;scesizespectrastopifchok;feffort
-97.0784593567831;simu4;scesizespectrastopifchok;feffort
-97.5534178784137;simu5;scesizespectrastopifchok;feffort
-98.0411225656046;simu6;scesizespectrastopifchok;feffort
-96.9398205400077;simu7;scesizespectrastopifchok;feffort
-97.4790754644226;simu8;scesizespectrastopifchok;feffort
-97.2066582700752;simu9;scesizespectrastopifchok;feffort
-97.1587284227411;simu10;scesizespectrastopifchok;feffort
-96.8215599395234;simu1;sceavchokpszpctrastopifchok;feffort
-96.8564134535311;simu2;sceavchokpszpctrastopifchok;feffort
-97.8310375029859;simu3;sceavchokpszpctrastopifchok;feffort
-98.0517751176242;simu4;sceavchokpszpctrastopifchok;feffort
-97.5935183117718;simu5;sceavchokpszpctrastopifchok;feffort
-96.9584116301105;simu6;sceavchokpszpctrastopifchok;feffort
-96.2037135422436;simu7;sceavchokpszpctrastopifchok;feffort
-98.0186903168735;simu8;sceavchokpszpctrastopifchok;feffort
-96.9193586819621;simu9;sceavchokpszpctrastopifchok;feffort
-97.9915149195239;simu10;sceavchokpszpctrastopifchok;feffort
1.82045393907191;simu1;sceavhtariffspszpctratariffs;feffort
1.98931508220743;simu2;sceavhtariffspszpctratariffs;feffort
2.35096060878368;simu3;sceavhtariffspszpctratariffs;feffort
2.53025678145693;simu4;sceavhtariffspszpctratariffs;feffort
2.59581952982242;simu5;sceavhtariffspszpctratariffs;feffort
2.09930038468617;simu6;sceavhtariffspszpctratariffs;feffort
1.43491127604692;simu7;sceavhtariffspszpctratariffs;feffort
1.84408102161635;simu8;sceavhtariffspszpctratariffs;feffort
2.35127253747262;simu9;sceavhtariffspszpctratariffs;feffort
2.99666429704162;simu10;sceavhtariffspszpctratariffs;feffort
1.05742764818694;simu1;scetrgthtariffspszpctratariffs;feffort
0.922416029196938;simu2;scetrgthtariffspszpctratariffs;feffort
1.04785412851342;simu3;scetrgthtariffspszpctratariffs;feffort
1.21823806174501;simu4;scetrgthtariffspszpctratariffs;feffort
1.26931542180644;simu5;scetrgthtariffspszpctratariffs;feffort
0.582368966982429;simu6;scetrgthtariffspszpctratariffs;feffort
-0.954271387457695;simu7;scetrgthtariffspszpctratariffs;feffort
0.310976024678467;simu8;scetrgthtariffspszpctratariffs;feffort
0.22262314055213;simu9;scetrgthtariffspszpctratariffs;feffort
1.06359709082955;simu10;scetrgthtariffspszpctratariffs;feffort
1.25605164680047;simu1;sceannualcodclosure;feffort
0.581117547747652;simu2;sceannualcodclosure;feffort
1.07128638540375;simu3;sceannualcodclosure;feffort
0.782112477607598;simu4;sceannualcodclosure;feffort
0.545001344275889;simu5;sceannualcodclosure;feffort
0.461941517703977;simu6;sceannualcodclosure;feffort
-0.0974392248268714;simu7;sceannualcodclosure;feffort
0.589289359675192;simu8;sceannualcodclosure;feffort
0.285937978690811;simu9;sceannualcodclosure;feffort
0.599469568545956;simu10;sceannualcodclosure;feffort
0.535213002004468;simu1;scequartercodclosure;feffort
-0.495337862743412;simu2;scequartercodclosure;feffort
-0.263669764426183;simu3;scequartercodclosure;feffort
-0.0448417223773845;simu4;scequartercodclosure;feffort
-0.864209907541152;simu5;scequartercodclosure;feffort
-1.62758833807848;simu6;scequartercodclosure;feffort
-1.31667295914562;simu7;scequartercodclosure;feffort
-1.12572867285141;simu8;scequartercodclosure;feffort
-1.15691413917918;simu9;scequartercodclosure;feffort
-0.1471901715244;simu10;scequartercodclosure;feffort
-0.0581825116185684;simu1;scebaseline;seffort
-0.125571659258554;simu2;scebaseline;seffort
0.00793818344936881;simu3;scebaseline;seffort
-0.175767794057876;simu4;scebaseline;seffort
0.153190332870224;simu5;scebaseline;seffort
0.294115734798297;simu6;scebaseline;seffort
0.050277913259734;simu7;scebaseline;seffort
-0.118746527236297;simu8;scebaseline;seffort
0.105089174670866;simu9;scebaseline;seffort
-0.243097730376334;simu10;scebaseline;seffort
0.0464434850453017;simu1;sceavchokpszpectra;seffort
-0.143347032835948;simu2;sceavchokpszpectra;seffort
0.0429243583501346;simu3;sceavchokpszpectra;seffort
-0.223267069796293;simu4;sceavchokpszpectra;seffort
0.17071540279079;simu5;sceavchokpszpectra;seffort
0.0994415736269758;simu6;sceavchokpszpectra;seffort
-0.0150269587743281;simu7;sceavchokpszpectra;seffort
-0.113383119648219;simu8;sceavchokpszpectra;seffort
-0.155396732126263;simu9;sceavchokpszpectra;seffort
-0.0415465564769306;simu10;sceavchokpszpectra;seffort
-97.5763609154322;simu1;scesizespectrastopifchok;seffort
-97.1277318537939;simu2;scesizespectrastopifchok;seffort
-97.440312216967;simu3;scesizespectrastopifchok;seffort
